epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,314.319,0.46239,2.63612,1.19155,0.30773,0.45351,0.33925,0.33534,0.28415,2.75066,0.30577,0.000364806,0.000364806,0.000364806
2,623.269,0.22279,1.77335,1.00471,0.35924,0.84392,0.42966,0.33159,0.57423,1.986,0.50425,0.000662361,0.000662361,0.000662361
3,885.832,0.26329,1.48348,1.00967,0.3441,0.85356,0.47292,0.43758,0.42302,1.92155,0.39105,0.000886589,0.000886589,0.000886589
4,1142.41,0.26361,1.41242,1.01899,0.57711,0.4779,0.43285,0.42236,0.38736,1.72468,0.44607,0.000781033,0.000781033,0.000781033
5,1451.9,0.23168,1.32312,0.9904,0.54375,0.63846,0.47356,0.46572,0.28402,1.6796,0.27677,0.000671044,0.000671044,0.000671044
6,1689.09,0.18245,1.2753,0.95607,0.33762,0.62846,0.46876,0.46055,0.31273,1.337,0.31036,0.000561055,0.000561055,0.000561055
7,1939.83,0.17095,1.181,0.94679,0.61251,0.54844,0.48563,0.47309,0.31133,1.57953,0.34052,0.000451066,0.000451066,0.000451066
8,2193.89,0.14081,1.09928,0.9495,0.4063,0.63987,0.57101,0.56599,0.28553,1.20055,0.29945,0.000341077,0.000341077,0.000341077
9,2444.56,0.12077,1.04417,0.93451,0.62928,0.44815,0.52676,0.51831,0.30117,1.26826,0.31154,0.000231088,0.000231088,0.000231088
10,2682.88,0.12591,1.00924,0.92671,0.42029,0.48359,0.50343,0.49622,0.3194,1.18712,0.32901,0.000121099,0.000121099,0.000121099
1,291.878,0.65681,2.53069,1.25716,0.21141,0.8169,0.34033,0.29046,0.35523,3.7338,0.44289,0.00017776,0.00017776,0.00017776
2,621.96,0.27491,1.61925,1.01782,0.18011,0.45974,0.216,0.1159,1.06774,3.33028,1.19314,0.000363,0.000363,0.000363
3,962.677,0.27533,1.42884,0.98775,0.45395,0.34338,0.22106,0.12174,1.06869,5.16308,1.14701,0.000544501,0.000544501,0.000544501
4,1242.81,0.25805,1.33048,0.97411,0.14797,0.28922,0.21095,0.12447,1.18069,5.89613,1.19864,0.000722262,0.000722262,0.000722262
5,1483.08,0.29382,1.3326,0.97913,0.31818,0.45494,0.33106,0.24133,0.61803,2.70483,0.64822,0.000896284,0.000896284,0.000896284
6,1780.82,0.27457,1.2698,0.97895,0.19393,0.31166,0.14405,0.07879,1.3899,5.16965,1.19656,0.00105601,0.00105601,0.00105601
7,2105.01,0.28039,1.20952,0.96865,0.25797,0.36701,0.28664,0.17367,1.00041,2.93503,0.99015,0.00104501,0.00104501,0.00104501
8,2414.38,0.27899,1.14914,0.98009,0.33732,0.25153,0.07866,0.03217,2.34777,11.2758,2.36882,0.00103401,0.00103401,0.00103401
9,2716.65,0.25683,1.12817,0.9541,0.10272,0.5883,0.14405,0.06041,1.22278,3.61146,1.09408,0.00102301,0.00102301,0.00102301
10,3025.61,0.27274,1.20459,0.96375,0.34445,0.31519,0.18816,0.0974,1.10515,2.78723,1.06509,0.00101201,0.00101201,0.00101201
11,3314.67,0.25345,1.10758,0.97136,0.63023,0.25506,0.23104,0.15851,0.7538,2.31931,0.69391,0.00100101,0.00100101,0.00100101
12,3595.3,0.23897,1.12394,0.9536,0.26156,0.37818,0.22064,0.111,0.90447,2.41917,0.73603,0.000990012,0.000990012,0.000990012
