epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,391.246,0.66661,2.3784,1.28766,0.28267,0.73264,0.48546,0.34933,0.97458,2.1564,1.38924,0.000411822,0.000411822,0.000411822
2,787.384,0.55232,1.77131,1.13443,0.31978,0.85439,0.51198,0.38273,0.99868,2.31131,1.54987,0.000746468,0.000746468,0.000746468
3,1123.86,0.57811,1.53554,1.15125,0.31417,0.66484,0.49015,0.32984,1.01953,1.9412,1.6323,0.000998614,0.000998614,0.000998614
4,1951.16,0.53951,1.42604,1.16638,0.30563,0.79167,0.48125,0.28569,0.98002,2.21487,1.45955,0.00087875,0.00087875,0.00087875
5,2257.29,0.50953,1.29864,1.10412,0.55579,0.64758,0.67396,0.53963,0.93548,1.62972,1.33283,0.000755,0.000755,0.000755
6,2594.56,0.46951,1.13659,1.07959,0.37362,0.82827,0.56252,0.45086,0.886,1.3668,1.29629,0.00063125,0.00063125,0.00063125
7,3010.58,0.44367,1.08187,1.06308,0.58743,0.72682,0.74871,0.58413,0.93645,1.38429,1.33202,0.0005075,0.0005075,0.0005075
8,3337.47,0.38771,1.04127,1.04237,0.52278,0.87847,0.69916,0.52513,0.92758,1.25993,1.26151,0.00038375,0.00038375,0.00038375
9,3681.43,0.40267,0.92778,1.05013,0.57477,0.93439,0.8091,0.64678,0.82952,1.05106,1.16399,0.00026,0.00026,0.00026
10,3979.65,0.37997,0.83233,1.00597,0.69708,0.86319,0.83484,0.71396,0.73436,0.95409,1.06565,0.00013625,0.00013625,0.00013625
